date_key,full_date,day_of_week,day_name,day_of_month,day_of_year,month,month_name,quarter,year,is_weekend
2017-02-07,2017-02-07,1,Tuesday,7,38,2,February,1,2017,False
2017-03-23,2017-03-23,3,Thursday,23,82,3,March,1,2017,False
2017-02-11,2017-02-11,5,Saturday,11,42,2,February,1,2017,True
2018-08-27,2018-08-27,0,Monday,27,239,8,August,3,2018,False
2017-02-06,2017-02-06,0,Monday,6,37,2,February,1,2017,False
2018-05-18,2018-05-18,4,Friday,18,138,5,May,2,2018,False
2017-06-26,2017-06-26,0,Monday,26,177,6,June,2,2017,False
2018-02-24,2018-02-24,5,Saturday,24,55,2,February,1,2018,True
2018-03-23,2018-03-23,4,Friday,23,82,3,March,1,2018,False
2018-01-04,2018-01-04,3,Thursday,4,4,1,January,1,2018,False
2017-08-16,2017-08-16,2,Wednesday,16,228,8,August,3,2017,False
2018-05-21,2018-05-21,0,Monday,21,141,5,May,2,2018,False
2018-05-12,2018-05-12,5,Saturday,12,132,5,May,2,2018,True
2018-01-03,2018-01-03,2,Wednesday,3,3,1,January,1,2018,False
2017-07-12,2017-07-12,2,Wednesday,12,193,7,July,3,2017,False
2018-06-14,2018-06-14,3,Thursday,14,165,6,June,2,2018,False
2018-01-15,2018-01-15,0,Monday,15,15,1,January,1,2018,False
2017-03-04,2017-03-04,5,Saturday,4,63,3,March,1,2017,True
2017-07-04,2017-07-04,1,Tuesday,4,185,7,July,3,2017,False
2018-04-24,2018-04-24,1,Tuesday,24,114,4,April,2,2018,False
2018-05-31,2018-05-31,3,Thursday,31,151,5,May,2,2018,False
2017-12-10,2017-12-10,6,Sunday,10,344,12,December,4,2017,True
2017-07-27,2017-07-27,3,Thursday,27,208,7,July,3,2017,False
2018-04-19,2018-04-19,3,Thursday,19,109,4,April,2,2018,False
2018-08-19,2018-08-19,6,Sunday,19,231,8,August,3,2018,True
2018-05-26,2018-05-26,5,Saturday,26,146,5,May,2,2018,True
2017-09-21,2017-09-21,3,Thursday,21,264,9,September,3,2017,False
2018-05-13,2018-05-13,6,Sunday,13,133,5,May,2,2018,True
2018-02-16,2018-02-16,4,Friday,16,47,2,February,1,2018,False
2017-03-10,2017-03-10,4,Friday,10,69,3,March,1,2017,False
2017-10-28,2017-10-28,5,Saturday,28,301,10,October,4,2017,True
